10.481	come back
10.49	go away, depart
10.491	disappear
10.51	flee
10.52	follow
10.53	pursue
10.55	reach, arrive
10.56	approach
10.57	enter
10.61	carry (bear)
10.612	carry-in-hand
10.613	carry-on-shoulder
10.614	carry-on-head
10.615	carry-underarm
10.62	bring
10.63	send
10.64	lead (vb)
10.65	drive
10.66	ride
10.67	push, shove
10.71	road
10.72	path
10.74	bridge
10.75	carriage, wagon, cart
10.76	wheel
10.77	axle
10.78	yoke
10.81	ship
10.83	boat
10.831	canoe
10.832	outrigger
10.84	raft
10.85	oar
10.851	paddle (noun)
10.852	row (vb)
10.86	rudder
10.87	mast
10.88	sail (noun)
10.89	anchor
10.91	harbor, port
10.92	land (vb)
11.11	have
11.12	own, possess
11.13	take
11.14	seize, grasp
11.15	hold
11.16	get, obtain
11.17	keep, retain
11.18	thing
11.21	give
11.22	give back
11.24	preserve, look after
11.25	save, rescue
11.27	destroy
11.28	harm, injure, damage
11.31	seek, look for
11.32	find
11.33	lose
11.34	release, let go
11.43	money
11.44	coin
11.51	rich
11.52	poor
11.53	beggar
11.54	avaricious, stingy
11.61	lend
11.62	borrow
11.63	owe
11.64	debt
11.65	pay (vb)
11.66	account, reckoning
11.69	tax, tribute
11.77	hire
11.78	wages
11.79	earn
11.81	buy
11.82	sell
11.83	trade, barter
11.84	merchant
11.85	market (place)
11.86	store, shop
11.87	price
11.88	dear (costly, expensive)
11.89	cheap
11.91	share (distribute)
11.92	weigh
12.1	after
12.11	behind
12.2	beside
12.3	down, below
12.4	before
12.41	front
12.5	inside, in
12.6	outside
12.7	under
12.8	up, above
12.11	place
12.12	put
12.13	sit
12.14	lie down
12.15	stand
12.16	remain, stay
12.17	remains, left overs
12.21	collect, gather
12.212	pick up
12.213	pile up
12.22	join, unite
12.23	separate
12.232	divide
12.24	open
12.25	shut, close
12.26	cover
12.27	hide, conceal
12.31	high
12.32	low
12.33	top
12.34	bottom
12.35	end
12.352	pointed
12.353	edge
12.36	side
12.37	middle, center
12.41	right (side)
12.42	left (side)
12.43	near (adv)
12.44	far (adv)
12.45	east
12.46	west
12.47	north
12.48	south
12.53	grow
12.54	measure
12.541	span, fathom
12.55	large, big
12.56	small, little
12.57	long
12.58	tall
12.59	short
12.61	wide, broad
12.62	narrow
12.63	thick (in dimension)
12.65	thin (in dimension)
12.67	deep
12.68	shallow
12.71	flat
12.73	straight
12.74	crooked
12.75	hook
12.76	corner
12.77	cross
12.78	square
12.81	round
12.82	circle
12.83	sphere, ball
12.84	line
12.85	hole
12.92	like, similar
12.93	change
13.0	zero, nothing
13.1	one
13.2	two
13.3	three
13.4	four
13.5	five
13.6	six
13.7	seven
13.8	eight
13.9	nine
13.10	ten
13.101	eleven
13.102	twelve
13.103	fifteen
13.104	twenty
13.105	hundred
13.106	thousand
13.107	count
13.14	every, all
13.15	much, many
13.16	more
13.17	little (quantity), few
13.18	enough
13.181	some
13.19	multitude, crowd
13.21	full
13.22	empty
13.23	part, piece
13.24	half
13.33	alone, only
13.34	first
13.35	last
13.36	second
13.37	pair
13.38	two times
13.42	third
13.44	three times
14.11	time
14.12	age
14.13	new
